group_by,group_value,metric,count,mean,std,median,iqr,min,max
domain,digital,bleu,180,0.6518408812473667,0.10838917838985604,0.691441569283882,0.11250322368518706,0.3766136530980537,0.8408964152537146
domain,digital,bertscore_f1,180,0.9625926440000001,0.008121505579114802,0.9636469000000001,0.010206849999999879,0.9336842,0.9792921
domain,digital,bertscore_p,180,0.9626381687777776,0.008092351227119895,0.96372703,0.01020683499999997,0.9336842,0.9792921
domain,digital,bertscore_r,180,0.9625472866666668,0.008160347603064616,0.96348655,0.010206849999999879,0.9336842,0.9792921
domain,education,bleu,204,0.6205245489475383,0.12572675700218958,0.6042750794713536,0.11250322368518706,0.1520904838654684,0.8694417438899829
domain,education,bertscore_f1,204,0.9599804007843137,0.00924563474491224,0.96034197,0.011997200000000041,0.9296987,0.98042256
domain,education,bertscore_p,204,0.9599686228921568,0.00928699399639251,0.96034195,0.012062395000000059,0.9291594,0.98042256
domain,education,bertscore_r,204,0.9599923081862745,0.00921040275900195,0.96034197,0.01195193750000001,0.93023866,0.9804226
domain,food,bleu,72,0.5791832522725522,0.151673854483713,0.6042750794713536,0.11250322368518706,0.1520904838654684,0.8408964152537146
domain,food,bertscore_f1,72,0.9638051872222222,0.00791145411278193,0.96498485,0.01153074750000005,0.93699765,0.98118615
domain,food,bertscore_p,72,0.9639100795833334,0.00795942547789787,0.9649848999999999,0.011837574999999934,0.93796664,0.98118615
domain,food,bertscore_r,72,0.96370075375,0.007890132537482537,0.96474605,0.01153074750000005,0.93603075,0.98118615
domain,health,bleu,120,0.6090961128995538,0.1255387388858825,0.6042750794713536,0.11250322368518706,0.3766136530980537,0.8408964152537146
domain,health,bertscore_f1,120,0.9602559883333334,0.009359243079304984,0.9598201799999999,0.01071382249999997,0.9210656,0.9780099
domain,health,bertscore_p,120,0.9604122516666667,0.00946805595145636,0.9600353,0.010337322499999968,0.9181788,0.9780099
domain,health,bertscore_r,120,0.96010396325,0.00946036594725579,0.95975493,0.010263672499999932,0.9239707,0.9780099
domain,household,bleu,204,0.6504216676616111,0.10650361501436954,0.691441569283882,0.11250322368518706,0.3766136530980537,0.8408964152537146
domain,household,bertscore_f1,204,0.9600992791666667,0.008506882711188338,0.9604511849999999,0.010462627499999932,0.9347366,0.97832894
domain,household,bertscore_p,204,0.9601464327941177,0.0085555050751244,0.9604888250000001,0.010462612500000024,0.9347366,0.97832894
domain,household,bertscore_r,204,0.9600524179901959,0.008475186675191421,0.9604511250000001,0.010409324999999914,0.9347366,0.97832894
domain,shopping,bleu,72,0.5979189898986659,0.1525205546506585,0.6042750794713536,0.11250322368518706,0.1520904838654684,0.8408964152537146
domain,shopping,bertscore_f1,72,0.9637649147222223,0.009403769095937983,0.96380465,0.013143600000000033,0.9428111,0.9825811
domain,shopping,bertscore_p,72,0.9637649093055555,0.009403773562104981,0.96380465,0.013143600000000033,0.942811,0.982581
domain,shopping,bertscore_r,72,0.9637649159722221,0.009403766879711535,0.96380465,0.013143600000000033,0.9428111,0.9825811
domain,social,bleu,135,0.6265244576977782,0.14547689368672606,0.6042750794713536,0.11250322368518706,0.1520904838654684,0.8408964152537146
domain,social,bertscore_f1,135,0.9607666665925927,0.008602007898290085,0.9610802,0.0121213750000001,0.9359748,0.9819692
domain,social,bertscore_p,135,0.9607908742222224,0.008589731984481676,0.9610802,0.012121355,0.9359747,0.98196924
domain,social,bertscore_r,135,0.9607425306666667,0.008618386619834054,0.9610802,0.012121355000000111,0.93597484,0.9819692
domain,transport,bleu,135,0.639000410328838,0.1179057116503362,0.6042750794713536,0.11250322368518706,0.3766136530980537,0.8694417438899829
domain,transport,bertscore_f1,135,0.9604089983703703,0.008564595456322058,0.9613763,0.011001360000000071,0.9356333,0.9804122
domain,transport,bertscore_p,135,0.9604340992592593,0.008603552228099895,0.9613763,0.011001360000000071,0.9356333,0.9804122
domain,transport,bertscore_r,135,0.9603842319259258,0.008544293347859628,0.96129775,0.010841300000000054,0.9356333,0.9804122
domain,travel,bleu,165,0.6389829953002821,0.1271344834138038,0.6042750794713536,0.11250322368518706,0.133280336353857,0.8694417438899829
domain,travel,bertscore_f1,165,0.9600224226060607,0.010221910647520243,0.95961434,0.013406509999999927,0.9103605,0.98191744
domain,travel,bertscore_p,165,0.9602964079393942,0.009695573221717088,0.95964134,0.01307954999999994,0.92525613,0.98191744
domain,travel,bertscore_r,165,0.959755414848485,0.010999032081478623,0.95964134,0.013408500000000045,0.89593685,0.98191744
domain,work,bleu,213,0.624541876062406,0.11987364585682385,0.6042750794713536,0.11250322368518706,0.3766136530980537,0.8408964152537146
domain,work,bertscore_f1,213,0.9587236871361503,0.00842555814850967,0.95997095,0.010194499999999995,0.9297298,0.9780164
domain,work,bertscore_p,213,0.9587183148356808,0.008434029682357557,0.95997095,0.010194499999999995,0.9297298,0.9780164
domain,work,bertscore_r,213,0.9587292477464789,0.008427387965796826,0.95997095,0.010194499999999995,0.9297298,0.9780164
