metric,predictor,spearman_r,p_value,n
bleu,num_switch_points,0.04131900403444286,0.10968131250362628,1500
bleu,english_ratio,-0.06630989696728205,0.01020342854576048,1500
bleu,position_displacement_mean,-0.2697925372448736,1.9795557235423115e-26,1500
bleu,kendall_tau_distance,-0.8886373444015543,0.0,1500
bertscore_f1,num_switch_points,-0.0562149382024104,0.02947297066861567,1500
bertscore_f1,english_ratio,-0.06767818442668588,0.008741895708505839,1500
bertscore_f1,position_displacement_mean,-0.26902417509572735,2.7732864453081444e-26,1500
bertscore_f1,kendall_tau_distance,-0.36799295925705394,2.5940068294969913e-49,1500
bertscore_p,num_switch_points,-0.05868522866712836,0.023030193811920955,1500
bertscore_p,english_ratio,-0.0682595426266106,0.008179680013659181,1500
bertscore_p,position_displacement_mean,-0.27548892480322795,1.570795393111823e-27,1500
bertscore_p,kendall_tau_distance,-0.37037720838363897,5.59976955658466e-50,1500
bertscore_r,num_switch_points,-0.05320085615254428,0.0393792682548156,1500
bertscore_r,english_ratio,-0.06550558526417911,0.011160552238054388,1500
bertscore_r,position_displacement_mean,-0.2654132172023966,1.3328485697429708e-25,1500
bertscore_r,kendall_tau_distance,-0.36438891868021794,2.5690864328859613e-48,1500
