domain,variant,n,bleu_mean,bleu_std,bleu_min,bleu_max,bertscore_mean,bertscore_std,bertscore_min,bertscore_max,comet_mean,comet_std
digital,topic-fronting,60,0.6684021471732573,0.07165386506726376,0.49999999999999994,0.8408964152537145,0.9398453662792842,0.01175506994047541,0.9061426520347595,0.9613800644874573,,
digital,emphasis-shift,60,0.5977324835227334,0.06458375898238947,0.49999999999999994,0.7071067811865478,0.9341648936271667,0.010641300878999626,0.907345175743103,0.9506125450134277,,
education,topic-fronting,68,0.6375312895026968,0.08153467414629037,0.49999999999999994,0.8408964152537145,0.9316921795115751,0.013580286412289783,0.8959886431694031,0.9621793627738953,,
education,emphasis-shift,68,0.5942662441436037,0.07915217993421006,0.39763536438352537,0.8408964152537145,0.9317953656701481,0.00997286332862021,0.898848295211792,0.9486376047134399,,
food,topic-fronting,24,0.6262557981952236,0.05931183619345575,0.5081327481546147,0.7071067811865478,0.9336612497766813,0.01165598408587907,0.9146464467048645,0.9563870429992676,,
food,emphasis-shift,24,0.5622360335684569,0.10130831280478585,0.39763536438352537,0.7952707287670507,0.9301757737994194,0.011069015139520475,0.9091907143592834,0.9489545226097107,,
health,topic-fronting,40,0.6164749226184291,0.08371225153417648,0.49999999999999994,0.8408964152537145,0.9329052746295929,0.014808035269497817,0.8967761397361755,0.9566793441772461,,
health,emphasis-shift,40,0.5759495931474025,0.052224327515030526,0.49999999999999994,0.6914415692838819,0.9286238938570023,0.012793339465965652,0.8757864236831665,0.948209822177887,,
household,topic-fronting,68,0.6597563903419128,0.06239507598863977,0.49999999999999994,0.7652058832556893,0.9382011180414873,0.010452260647331202,0.9073398113250732,0.956630527973175,,
household,emphasis-shift,68,0.6026375280350733,0.06812324210344435,0.49999999999999994,0.7952707287670507,0.931961913319195,0.013546835529700008,0.8678211569786072,0.9489436745643616,,
shopping,topic-fronting,24,0.6484556184264489,0.09630208311547606,0.49999999999999994,0.8408964152537145,0.9406998778382937,0.014147365341946066,0.90218585729599,0.9665236473083496,,
shopping,emphasis-shift,24,0.5794679644872007,0.09264125273542748,0.39763536438352537,0.7652058832556893,0.9307131916284561,0.012901038645165046,0.8951322436332703,0.9506060481071472,,
social,topic-fronting,45,0.6369302920999772,0.07287382434770667,0.49999999999999994,0.7652058832556893,0.9352089431550767,0.014108791479568599,0.8850582242012024,0.9564962387084961,,
social,emphasis-shift,45,0.5824014590558138,0.08151149790051637,0.39763536438352537,0.7652058832556893,0.9321401516596476,0.010340441338938952,0.9074001312255859,0.9517455697059631,,
transport,topic-fronting,45,0.6393692342195241,0.07385648490548907,0.49999999999999994,0.8034284189446523,0.9362215598424276,0.009977950127032707,0.9137078523635864,0.9554231762886047,,
transport,emphasis-shift,45,0.6000008641453546,0.07190030016460892,0.49999999999999994,0.7952707287670507,0.9317811568578084,0.007299908446783696,0.9143146276473999,0.9457458257675171,,
travel,topic-fronting,55,0.6758898618121368,0.05597086917885502,0.537284965911771,0.8034284189446523,0.9351314783096314,0.014980182292375695,0.8849360942840576,0.9564555287361145,,
travel,emphasis-shift,55,0.6000028288853186,0.10718845302167067,0.2136435031981171,0.7652058832556893,0.9311185262419961,0.010872923250298754,0.9064887166023254,0.9482924938201904,,
work,topic-fronting,71,0.6376327132400781,0.06911834875517749,0.49999999999999994,0.7652058832556893,0.9357959888350795,0.011773332450060401,0.9029810428619385,0.956630289554596,,
work,emphasis-shift,71,0.5960789039941211,0.0769544823704359,0.49999999999999994,0.7952707287670507,0.9301522080327423,0.012770569260855309,0.8769492506980896,0.9544392228126526,,
OVERALL,topic-fronting,500,0.6469022113751536,0.07363393635507201,0.49999999999999994,0.8408964152537145,0.935864926815033,0.0128703704164676,0.8849360942840576,0.9665236473083496,,
OVERALL,emphasis-shift,500,0.5924442950301473,0.07917863347327403,0.2136435031981171,0.8408964152537145,0.9314409282207489,0.011370117604710723,0.8678211569786072,0.9544392228126526,,
